2018-05-14-10:51:28,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:30,3:28:97 1A:0:B7 284.2699
2018-05-14-10:51:31,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:33,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:34,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:36,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:37,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:39,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:40,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:42,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:43,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:45,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:46,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:48,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:49,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:51,3:28:95 1A:0:B5 284.2671
2018-05-14-10:51:52,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:54,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:55,3:28:95 1A:0:B5 284.2671
2018-05-14-10:51:57,3:28:96 1A:0:B6 284.2685
2018-05-14-10:51:58,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:00,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:01,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:03,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:04,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:06,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:07,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:09,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:10,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:12,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:13,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:15,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:16,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:18,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:19,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:21,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:22,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:24,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:25,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:27,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:28,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:30,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:31,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:33,3:28:96 1A:0:B6 284.2685
2018-05-14-10:52:34,3:28:95 1A:0:B5 284.2671
2018-05-14-10:52:36,3:28:96 1A:0:B6 284.2685
